Borough,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,Total
Barking and Dagenham,602.0,556.0,509.0,520.0,492.0,573.0,326.0,374.0,426.0,453.0,436.0,510.0,505.0,519.0,388.0,383.0,366.0,418.0,439.0,503.0,532.0,514.0,451.0,505.0,11300.0
Barnet,948.0,1032.0,990.0,1023.0,964.0,826.0,466.0,536.0,704.0,792.0,766.0,784.0,796.0,764.0,738.0,476.0,515.0,680.0,721.0,780.0,836.0,718.0,667.0,741.0,18263.0
Bexley,521.0,526.0,446.0,585.0,524.0,405.0,214.0,310.0,310.0,343.0,422.0,364.0,421.0,338.0,311.0,251.0,272.0,352.0,305.0,340.0,346.0,358.0,382.0,394.0,9040.0
Brent,917.0,954.0,896.0,940.0,876.0,820.0,584.0,626.0,683.0,767.0,768.0,835.0,863.0,714.0,746.0,604.0,610.0,712.0,667.0,828.0,784.0,918.0,815.0,805.0,18732.0
Bromley,811.0,820.0,771.0,826.0,754.0,632.0,391.0,442.0,456.0,556.0,575.0,603.0,730.0,592.0,548.0,404.0,497.0,530.0,646.0,674.0,681.0,702.0,677.0,712.0,15030.0
Camden,1997.0,1878.0,1801.0,1749.0,1916.0,1374.0,549.0,649.0,687.0,963.0,1153.0,1165.0,1275.0,920.0,843.0,615.0,642.0,791.0,855.0,1022.0,1144.0,1159.0,1202.0,1146.0,27495.0
Croydon,991.0,986.0,825.0,942.0,959.0,910.0,558.0,554.0,660.0,826.0,802.0,788.0,875.0,737.0,668.0,618.0,607.0,713.0,748.0,769.0,876.0,831.0,834.0,764.0,18841.0
Ealing,919.0,1028.0,928.0,947.0,876.0,784.0,537.0,556.0,650.0,767.0,822.0,982.0,919.0,741.0,655.0,591.0,573.0,699.0,732.0,779.0,912.0,825.0,738.0,850.0,18810.0
Enfield,924.0,968.0,850.0,839.0,733.0,708.0,457.0,513.0,601.0,711.0,652.0,761.0,796.0,705.0,618.0,508.0,497.0,699.0,669.0,781.0,844.0,682.0,705.0,722.0,16943.0
